"Gene.Symbol","GSM9098","GSM9099","GSM9100","GSM9101","GSM9102","first","second","third"
"SKP1",1816.3,1541.6,1578.1,2037.2,2191,"SKP1",NA,NA
"SKP1",119.5,127.7,107.9,106.7,109.3,"SKP1",NA,NA
"ACTR1A",216,278.4,335,261.9,266,"ACTR1A",NA,NA
"ACTR1A",301.4,252.4,296.5,219.4,232.8,"ACTR1A",NA,NA
"CAPRIN1",298,269.2,382.8,290,303.3,"CAPRIN1",NA,NA
"CAPRIN1",656.6,820.8,702.5,662.5,724.9,"CAPRIN1",NA,NA
"RPL10 /// SNORA70",65.3,19.3,17.8,55.6,45.9,"RPL10","SNORA70",NA
"RPL10 /// SNORA70",5869.9,7582.1,6128.4,3998.6,3964.9,"RPL10","SNORA70",NA
"PPP1CC",651.3,482.1,410.8,567.9,498.3,"PPP1CC",NA,NA
"ACTR2",200.8,315.9,302.4,213.4,249.5,"ACTR2",NA,NA
"ACTR2",620.2,616.1,683,858.9,1131.4,"ACTR2",NA,NA
"ACTR2",420.1,236.7,263.4,466.2,570.4,"ACTR2",NA,NA
"PTP4A1",83.2,304.6,126.9,123,117.1,"PTP4A1",NA,NA
"PTP4A1",129.1,447.1,198,135.6,96.4,"PTP4A1",NA,NA
"PTP4A1",263.9,786.1,334.2,411.5,289.3,"PTP4A1",NA,NA
"PTP4A1",54.9,85.2,63.4,77.9,76.6,"PTP4A1",NA,NA
"ARF3",243.6,357,499,282.3,251.3,"ARF3",NA,NA
"NACA",3785.3,5301.6,4276.9,2922.5,3009.2,"NACA",NA,NA
"GPX1",324.5,465.2,517.5,379.4,592.2,"GPX1",NA,NA
"PGK1",236.3,208.8,187.1,238.2,194.5,"PGK1",NA,NA
"PGK1",630.9,684,737.8,727.9,813.9,"PGK1",NA,NA
"SUMO3",159.3,175.2,212.9,171.6,167.9,"SUMO3",NA,NA
"SUMO3",332.5,276.5,313.5,272.5,244.8,"SUMO3",NA,NA
"RPS27",7892.9,5522.5,4881,5262.1,5495.5,"RPS27",NA,NA
"TPP1",436.9,593,877,677.7,651.7,"TPP1",NA,NA
"TPP1",355.1,455.1,700.9,600.8,732.9,"TPP1",NA,NA
"GNB1",388.3,531.4,598.6,430.6,441.6,"GNB1",NA,NA
"GNB1",609.8,803.3,901.6,770.1,909.8,"GNB1",NA,NA
"GNB1",974,1157.5,1225.9,989.1,1034.9,"GNB1",NA,NA
"NUMA1",612.3,536.6,648.9,335.2,419.2,"NUMA1",NA,NA
"FTH1",2860.5,4181.4,4328.3,2420.1,3022.1,"FTH1",NA,NA
"RAN",181.4,216.4,172.1,267.7,314.8,"RAN",NA,NA
"RAN",567.6,697.6,859.5,814.8,690.8,"RAN",NA,NA
"HNRNPC",310.5,293.8,307.4,334.8,381,"HNRNPC",NA,NA
"CAPN1",181.4,203.4,216.3,147.4,122.4,"CAPN1",NA,NA
"MIR636 /// SRSF2",226.1,142.2,137.7,175.4,201.9,"MIR636","SRSF2",NA
"MIR636 /// SRSF2",915.5,1752.5,1410.6,746.7,725.9,"MIR636","SRSF2",NA
"CALU",184.8,445.9,711.8,378.9,395.8,"CALU",NA,NA
"CALU",171.4,337.5,448.6,363.8,359.4,"CALU",NA,NA
"CALU",536.1,1240.7,1398.3,1268.1,1334.3,"CALU",NA,NA
"NFE2L1",708,690.2,960.5,843.5,1025.2,"NFE2L1",NA,NA
"NFE2L1",1042.4,858,1032.4,898.1,853.1,"NFE2L1",NA,NA
"ARL6IP5",656,532.1,560.3,653.7,578.8,"ARL6IP5",NA,NA
"ARL6IP5",985.6,845.1,736.2,1162.8,1681.7,"ARL6IP5",NA,NA
"DPYSL2",954.2,515,629.2,901.6,1056.1,"DPYSL2",NA,NA
"RPLP1",5657.4,6180.5,5210.2,3907.1,4478.7,"RPLP1",NA,NA
"CTNNA1",504.2,429.6,406.8,409.8,443,"CTNNA1",NA,NA
"CTNNA1",502.6,569.1,563.2,506.8,623.1,"CTNNA1",NA,NA
"CTSD",106.7,127.5,220.6,136.9,129.2,"CTSD",NA,NA
"FAM120A",101.3,101.8,81.6,131.4,167.6,"FAM120A",NA,NA
"MAT2A",846,971.2,800.6,668.4,741.8,"MAT2A",NA,NA
"MAT2A",279,385.2,377.3,278,280.5,"MAT2A",NA,NA
"LAMC1",273.2,338.8,437.4,418.2,324.1,"LAMC1",NA,NA
"LAMC1",857.7,1045.9,1160.9,1227.2,971.5,"LAMC1",NA,NA
"LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA",1612,2280.2,2078.7,1775.6,1680,"LOC100506248","LOC728026","MIR1244-1"
"PTMA",2264.4,2000.8,1884.6,2219.2,2126.4,"PTMA",NA,NA
"FAM120A",614.7,564.5,623.8,803.2,793,"FAM120A",NA,NA
"HNRNPK",845,1090.3,1103.7,886,943,"HNRNPK",NA,NA
"BZW1",376.7,266.7,291.7,349.8,362.1,"BZW1",NA,NA
"BZW1",455.9,402.6,348.2,460.8,469,"BZW1",NA,NA
"2-Sep",760.7,1144.6,1104,812.9,974.3,"2-Sep",NA,NA
"ATF4",1362.4,1379.7,1873.1,1096.9,1236.7,"ATF4",NA,NA
"GNAS",3010.5,5554.6,4447.5,2854.4,3627.5,"GNAS",NA,NA
"RPS15A",4854,7480.3,6379.2,4061.8,3709.1,"RPS15A",NA,NA
"ANXA5",1400.8,1401.1,1434.3,1367.2,1470.4,"ANXA5",NA,NA
"STMN1",60.3,64.2,113.4,31.7,53.8,"STMN1",NA,NA
"LRP1",208,126.8,136.1,124.8,117.6,"LRP1",NA,NA
"LRP1",294.6,192.8,220.3,267.3,131.7,"LRP1",NA,NA
"PSMB7",339.1,568.2,413.7,436.1,464.5,"PSMB7",NA,NA
"PEA15",539.1,852.5,817.4,759.3,838.4,"PEA15",NA,NA
"PEA15",939.9,1105.5,1253.6,985.5,993.6,"PEA15",NA,NA
"ECH1",234,217.5,262.8,237.9,189.7,"ECH1",NA,NA
"ODC1",385.5,660.5,528.7,672.3,629.3,"ODC1",NA,NA
"IQGAP1",1014.9,1450,1353.3,769.5,901.3,"IQGAP1",NA,NA
"XRCC6",952.4,1167.9,990.6,895.8,958.7,"XRCC6",NA,NA
"ACO2",143,252.8,292.1,200.8,158.6,"ACO2",NA,NA
"DAZAP2",968.9,975,926.6,835.1,930.9,"DAZAP2",NA,NA
"SPARCL1",6238.7,7287.7,6968.5,7360.5,7024.9,"SPARCL1",NA,NA
"MCL1",205.5,191.5,116.3,75.5,80.3,"MCL1",NA,NA
"MCL1",2472.1,1706,1278.6,1018.2,1897.4,"MCL1",NA,NA
