"Gene.Symbol","GSM9093","GSM9094","GSM9095","GSM9096","GSM9097","first","second","third"
"CAPRIN1",898.9,656.7,739.8,558.7,376.1,"CAPRIN1",NA,NA
"RPL10 /// SNORA70",20.8,19.9,57,51.1,56.3,"RPL10","SNORA70",NA
"RPL10 /// SNORA70",5843.8,5716.9,6036.5,5241.8,5228.2,"RPL10","SNORA70",NA
"PPP1CC",426.5,681.1,746.9,581.9,585.6,"PPP1CC",NA,NA
"ACTR2",170.8,162.9,120.2,156.6,102.3,"ACTR2",NA,NA
"ACTR2",890.3,649,664.4,692.6,553.3,"ACTR2",NA,NA
"ACTR2",365.7,236.9,310.1,283.6,169,"ACTR2",NA,NA
"PTP4A1",147.6,92,88.2,90.4,45.2,"PTP4A1",NA,NA
"PTP4A1",198.3,84.9,218.8,133.9,76.3,"PTP4A1",NA,NA
"PTP4A1",421,403.2,371.4,453,366.1,"PTP4A1",NA,NA
"PTP4A1",55.1,65.1,80.4,74,108.8,"PTP4A1",NA,NA
"ARF3",331.1,215.3,152.6,280.7,327.2,"ARF3",NA,NA
"NACA",3875.1,3893.5,4989.5,3889.3,3837.9,"NACA",NA,NA
"GPX1",771.2,454.7,440.1,514,642,"GPX1",NA,NA
"PGK1",238.5,202.5,171.1,179.7,156.8,"PGK1",NA,NA
"PGK1",922.1,920.1,839.4,754.6,787.2,"PGK1",NA,NA
"SUMO3",202.8,130.9,136.1,171.2,124.1,"SUMO3",NA,NA
"SUMO3",299.9,330.6,309.6,339.4,313.2,"SUMO3",NA,NA
"RPS27",6010.9,7570.6,9064,6856.8,7471.4,"RPS27",NA,NA
"TPP1",980.5,336.7,266.4,439.5,424.4,"TPP1",NA,NA
"TPP1",963.5,300.3,256,467.4,536.7,"TPP1",NA,NA
"GNB1",599.1,310.6,226.5,263.4,171.6,"GNB1",NA,NA
"GNB1",841.5,695.6,577.4,511.3,489.9,"GNB1",NA,NA
"GNB1",1166.6,983.1,860.3,1008.8,996.9,"GNB1",NA,NA
"NUMA1",439.1,450.8,524.8,419.5,503.7,"NUMA1",NA,NA
"FTH1",3688.8,1929.3,1918.4,3348.5,3256.5,"FTH1",NA,NA
"RAN",186.9,416.5,451.3,305.6,342.3,"RAN",NA,NA
"RAN",1002.1,706.2,810,589.3,579,"RAN",NA,NA
"HNRNPC",479.6,251.6,407.3,254.3,206.4,"HNRNPC",NA,NA
"CAPN1",243,147.3,127,119.7,168,"CAPN1",NA,NA
"MIR636 /// SRSF2",151.7,147.9,148.9,120,103.5,"MIR636","SRSF2",NA
"MIR636 /// SRSF2",851.2,1472.8,1280.7,1030.4,717.5,"MIR636","SRSF2",NA
"CALU",702.7,455.8,607.3,736.3,816.4,"CALU",NA,NA
"CALU",647.1,274,320.8,336.4,248.2,"CALU",NA,NA
"CALU",2280,1276.1,1117.2,1408.6,1296.4,"CALU",NA,NA
"NFE2L1",1061.3,587.9,587.1,737.7,660.1,"NFE2L1",NA,NA
"NFE2L1",1079.7,925.7,814.6,1034,1064.3,"NFE2L1",NA,NA
"ARL6IP5",536.4,406.7,353,306,148.8,"ARL6IP5",NA,NA
"ARL6IP5",728.1,738.5,733.8,780.3,738.5,"ARL6IP5",NA,NA
"DPYSL2",454.4,495.8,498.7,382.1,424.4,"DPYSL2",NA,NA
"RPLP1",5342.7,7359.4,7127.2,5384,6321.1,"RPLP1",NA,NA
"CTNNA1",347.9,362.1,292.5,288.6,238.4,"CTNNA1",NA,NA
"CTNNA1",514.8,571.5,397.4,428.1,486.4,"CTNNA1",NA,NA
"CTSD",129.4,103.5,69.1,134.6,136.5,"CTSD",NA,NA
"FAM120A",115.5,112.4,83.8,93.6,98.1,"FAM120A",NA,NA
"MAT2A",617.9,667.2,1010.3,509.2,582.6,"MAT2A",NA,NA
"MAT2A",228.2,211.9,243.5,160.7,70.3,"MAT2A",NA,NA
"LAMC1",422.1,201.1,205.9,171.6,169.5,"LAMC1",NA,NA
"LAMC1",1420.8,1131.4,1161.4,1003.2,799.2,"LAMC1",NA,NA
"LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA",2843.5,1604.9,1839,1323.1,1393.8,"LOC100506248","LOC728026","MIR1244-1"
"PTMA",2353.3,1929.1,2251.3,1741.3,1733.8,"PTMA",NA,NA
"FAM120A",673.5,687.8,737.9,641.3,601.1,"FAM120A",NA,NA
