"Gene.Symbol","Flu.non.immunized.healthy","Flu.non.immunized.healthy.1","Flu.non.immunized.healthy.2","Flu.non.immunized.healthy.3","Flu.non.immunized.healthy.4","Flu.non.immunized.healthy.5"
"EVI5",5.26011674566667,5.37966853333333,5.615458895,4.84491024466667,4.53743812066667,4.648498713
"EVI5L",3.494253143,3.369628677,3.48092219666667,2.815534511,2.94663854433333,2.71397087933333
"EVPL",3.24933668,3.321412299,3.094693322,3.203915025,2.850327487,3.377197137
"EWSR1",7.278827126,6.98646759925,7.485963051,6.41647408325,5.9732352475,6.4433227645
"EXO1",3.251488799,3.111729602,3.104715667,2.848006884,2.722086119,2.888131404
"EXOC1",8.407043626,8.785390718,8.516254364,7.776365443,8.085230734,7.813402872
"EXOC2",6.799534938,6.9652136395,6.8318004215,5.849927276,6.221560893,5.8698191645
"EXOC3",5.9161091565,6.301972048,6.007521912,5.4019237835,5.569570823,5.847757488
"EXOC3L2",4.284686992,4.825619096,4.018214083,3.475121644,4.296494223,3.155113542
"EXOC4",7.013484381,7.2085353305,7.084365989,6.1179733595,5.8856085585,6.39541444
"EXOC5",5.7317443952,6.0376843452,5.7167945886,4.9898783312,5.173692998,4.8794157404
"EXOC6",5.284792851,5.54080952,5.652197499,4.773996841,5.00727135333333,4.93991797966667
"EXOC7",5.4179186716,5.4234591712,5.5879181914,5.1109935952,5.061817777,5.327822415
"EXOC8",7.346466448,6.625547989,7.775725801,6.723697239,6.231773125,6.8691946
"EXOG",3.904469839,4.187297408,4.163428069,3.293235368,3.47230323066667,3.50177845866667
"EXOSC1",5.00980547533333,5.159057946,5.35925993666667,4.47942024233333,4.44405116333333,4.418674054
"EXOSC10",5.9864131035,5.9437746165,5.809779523,5.0041745005,5.5776135215,5.2826807055
"EXOSC2",5.35240450366667,5.693377073,5.29367523733333,4.78045095133333,4.71684667566667,4.74749528766667
"EXOSC3",4.23296139283333,4.70863399566667,4.306427904,3.97023929,4.26845875633333,3.65187931383333
"EXOSC4",5.88407978466667,6.002181773,5.39536532133333,5.29430217066667,5.71460349866667,5.36477569133333
"EXOSC5",6.986965044,6.569993766,6.3210394,6.043302075,6.330279393,6.140974066
"EXOSC6",5.85804664333333,5.64042185,6.153752442,5.51984600366667,5.12031113466667,5.55582513833333
"EXOSC7",6.867604688,6.7700151235,6.181269346,5.828227567,6.4959435245,5.7293580005
"EXOSC8",8.404347126,8.046989861,8.22409241,7.263846209,7.371329075,7.508526697
"EXOSC9",8.285649225,8.444506792,8.352643183,7.087554891,6.788503648,6.936499382
"EXT1",4.403204728,4.601270291,4.67337360733333,3.62948388066667,3.680748037,3.752323365
"EXT2",6.914322968,6.9802681395,6.583946897,6.240933194,6.4696638335,6.4142314965
"EXTL1",3.006735134,3.342477664,2.852069135,2.31483996,2.505569903,2.401494975
"EXTL2",4.909183159,5.522452155,4.634893084,4.693571526,5.6806965,5.066419405
"EYA1",2.895002331,2.896760491,2.954963224,2.490276636,2.522776155,2.639713858
"EYA2",3.02013637,2.992279165,2.932311955,2.235784054,2.24008825,2.662742099
"EYA3",4.7413792215,4.72261802225,4.6685522035,3.939126123,4.35877451175,4.33107996875
"EYA4",2.89187523433333,2.83039995766667,2.79148930033333,2.52753014633333,2.432999409,2.52213695
"EZH1",6.6526144,6.5390587368,6.5505286652,5.5535849516,5.1595144668,5.7039361508
"EZH2",5.822788951,6.299511426,6.538321969,6.322915297,5.836166327,5.872680006
"EZR",9.1201555508,8.926524325,9.4049825634,7.7852618878,7.9625214654,8.41598265
"F10",3.354875578,3.485034396,3.063562393,3.28423037,2.86287598,3.036682035
"F11",2.969634269,2.77759195075,2.70510705425,2.22464687575,2.423725613,2.1188561055
"F12",3.852619533,3.71762791,3.4610556195,3.336902258,3.474847509,3.0071638055
"F13A1",10.59822566,11.54585689,9.702225207,10.74835236,10.74752814,9.552956413
"F13B",2.86345806,2.920888515,2.770258406,2.262867922,2.713016019,2.416415815
"F2",3.103772511,3.371586115,3.138752686,3.169771442,2.394964613,2.640456518
"F2R",7.166714631,7.042336594,7.2089964925,4.9661634985,5.320165305,4.8980379605
"F2RL1",4.249462978,4.7450140415,4.8090765965,5.2071648255,5.231502513,4.1419950745
"F2RL2",2.924679961,3.317037317,2.965060633,2.702975311,2.6114470375,2.5526213455
"F2RL3",2.58528476,2.939984851,2.777550516,2.357317869,2.690465715,2.860949557
"F3",3.900780855,3.965363829,3.951981612,5.151602531,4.406776242,3.832332712
"F5",7.39533384,7.24049634833333,6.11713252333333,7.03260420333333,6.721286422,5.942697438
"F7",3.994476185,3.6370299285,3.7299994355,3.237531498,2.7493263345,3.1067400185
"F8",6.706339158,5.757371291,6.402813177,5.239374877,4.91525886,4.97602778
"F9",3.257753517,3.149775157,3.260874195,2.839987327,2.733998546,2.266278429
"FA2H",3.110759598,3.0596280625,2.9777209655,2.458841407,2.5360662215,2.516740506
"FAAH",4.434890551,4.246659869,3.355296224,4.2214549,3.451168562,3.738159209
"FABP1",2.8072810755,2.5502446185,2.9803776575,2.6190172785,2.108702396,2.223118009
"FABP2",4.413178789,4.043158825,4.107424459,3.275636702,3.184714207,3.186756705
"FABP3",3.2897910055,3.2931052635,3.216102906,2.5802515395,2.539256888,2.8855618695
"FABP6",2.893915081,2.932353314,3.009860672,2.766782389,2.42566071733333,2.551345953
"FABP7",3.07290170566667,3.042477226,3.11680795266667,2.495931794,2.69892130266667,2.47469415866667
"FADD",6.416438215,6.245153449,6.647537145,5.106422494,5.386370242,5.446837684
"FADS3",4.8927105455,4.4168931685,4.541320581,4.7888335605,4.398871653,5.129565088
"FAF1",5.5745893664,5.6355993524,5.6755336178,5.0289413618,4.9979396286,4.961505487
"FAH",3.7470376935,4.1151905725,3.982163341,3.5293399695,3.871183884,3.7898362735
"FAHD1",5.65198406,6.008562848,5.549741791,3.9232304085,3.688816281,4.1327291275
"FAHD2A",5.8319171395,5.4783309785,5.663662628,5.1419657095,4.8006274525,4.721494431
"FAIM",4.918309747,4.81999245,4.809447777,3.742058886,3.452830684,3.270531053
"FAIM2",2.991866681,3.135602601,3.25257124,2.6680319045,2.466872119,2.594153321
"FAM102A",8.330927033,8.371651668,7.894936494,7.435018569,7.50892524,8.522634181
"FAM102B",8.064278077,8.262858606,8.293101209,7.76505546,7.499931168,7.503058951
"FAM104A",9.322716295,9.076226759,9.238551084,8.53533261,8.352269808,8.179624477
"FAM104B",4.3511344865,4.443800791,4.1096635835,3.464088971,3.632289141,3.3293817195
"FAM107A",3.0285541315,3.363469364,3.4200087195,2.5363989955,2.7640577015,2.379667793
"FAM110A",6.894615001,6.986580268,6.853030487,5.989212116,5.823858508,5.851758221
"FAM110B",3.74557588366667,3.731085608,4.12726594933333,3.44779626333333,3.58389833633333,3.31827742933333
"FAM110C",3.117314795,4.154738562,3.295354048,2.639962893,2.559341845,3.242332478
"FAM111A",6.5721073665,6.4228537385,6.5002765215,6.183022232,5.9276574445,5.8947294815
"FAM111B",3.1912801585,3.3026263235,3.789385453,2.5990584805,2.801647318,3.3282510255
"FAM114A1",3.4346679005,3.4044713,3.311790397,2.843867871,2.888059389,2.722444205
"FAM114A2",6.772848779,7.411160719,6.4794484095,6.0977150295,6.385439179,6.1766219495
"FAM117A",9.103576153,8.943743122,8.764746051,9.10813731,9.039174958,8.798981202
"FAM117B",6.37608630266667,6.56675901533333,6.56819953866667,5.30626218333333,5.06883534,6.51501577033333
"FAM118B",4.90170081166667,5.24192269266667,5.01888377966667,3.886376585,4.39715777766667,4.167960963
"FAM120AOS",5.8850211696,5.4623331834,5.8753270528,5.4148347558,5.3442743262,5.4593800092
"FAM120B",6.163259582,6.249623432,5.8153444425,5.102808779,5.619876548,5.7256416645
"FAM122A",5.074695517,5.412495542,5.0631854395,4.7096897185,5.463639995,4.6461703575
"FAM122B",8.41793377566667,8.686914543,8.43872874566667,7.46619759233333,7.29177880933333,7.46913991666667
"FAM122C",4.1752348565,4.41646627525,4.07292168475,3.64549346775,3.37105960175,3.593201716
"FAM124A",3.1467694414,2.9683059454,3.0890727512,2.5047717466,2.7240185472,2.3915265794
"FAM124B",4.031663527,3.46908004,3.532225779,2.736740264,3.146359247,2.640680922
"FAM126A",5.25520227125,5.47042318125,5.36447224175,4.19009331475,4.587976949,4.003480247
"FAM126B",6.53320694475,6.93325278975,7.1976382645,6.11014855,5.77751315675,5.899960958
"FAM131A",4.28449494133333,4.432905286,4.47653994566667,3.957809929,4.10691786366667,3.595394982
"FAM131B",3.05037453,3.153084323,3.218269949,2.575082379,2.954878999,2.691162315
"FAM131C",3.387878757,3.556761191,3.570714076,2.941559144,2.599227232,2.801302387
"FAM133A",3.1740391675,2.869612402,3.155833971,2.3663918455,2.4455710045,2.615622022
"FAM135A",3.87276704,4.102824036,3.88685348433333,3.23178267433333,3.37109433333333,3.299002317
"FAM135B",3.2783925135,3.0514646405,3.3164648365,2.5485326345,2.613860611,3.0486558475
"FAM136A",8.32458659,8.005687311,8.025042709,6.652399075,6.858462862,7.166327355
"FAM149A",3.090159141,2.95638836366667,2.887119871,2.28750908933333,2.35535173766667,2.55743900833333
"FAM149B1",5.00451239133333,4.78817368466667,4.80462164366667,4.293180336,3.96826681833333,4.24490089266667
"FAM151A",3.108572279,2.706885675,2.647783069,2.243379899,2.573742976,2.492966712
"FAM153B",3.8617678295,3.80572669,3.5544508165,3.152317924,3.179011024,3.016136525
"FAM155B",3.510803079,3.531741757,3.651191344,3.043266695,3.051821756,3.301419216
"FAM160A1",3.9298261825,3.713321724,3.532133988,3.0421985275,2.993905307,2.8707255505
"FAM160A2",6.975998936,6.820064873,6.511676634,6.178064313,6.440489158,6.150042514
"FAM160B1",5.6334686935,5.6416921375,6.1543107615,4.952834904,5.429301453,5.4402558945
"FAM160B2",4.386341161,4.39599171633333,4.29369321566667,3.752749422,3.98040320333333,4.07324118866667
"FAM161A",3.37598088725,3.51565939025,3.173454189,2.6385235575,2.9567585625,2.855804747
"FAM161B",7.71742926,7.944050016,8.210462724,6.366798995,6.786727261,7.039868299
"FAM162A",7.0910306644,7.0800807796,6.7913065736,6.397555615,6.5760985688,6.82272805
"FAM162B",2.883366214,2.862897126,2.702710099,3.047787833,2.296817052,2.320256326
"FAM163A",2.995729759,2.9824478245,3.0263323505,2.1151489835,2.117605798,2.240225974
"FAM167B",3.436592122,3.296008706,2.814863393,2.156920371,2.36603249,3.492993478
"FAM168A",6.093337325,6.387933782,6.477308238,5.666751737,5.5890315005,5.472728019
"FAM168B",6.3141916955,6.324116243,6.1851924885,5.4080931705,5.603008221,5.7006946635
"FAM169A",6.2656875035,6.507406236,6.8620264425,5.1438501715,4.232124301,5.589485508
"FAM169B",3.233108044,2.967485964,2.932483355,2.84340244,2.188601034,2.351801751
"FAM170A",3.246244687,3.476700917,3.212368553,2.672487918,2.920382621,2.824695823
"FAM171A1",5.28536469,5.830453034,4.521985535,4.869566235,5.003522559,4.781129875
"FAM171B",3.15035033466667,2.975539466,3.20881965766667,2.464877301,2.589936518,2.43695668066667
"FAM174A",6.764988963,6.419907887,6.512953369,5.682370772,5.345060421,4.444086456
"FAM174B",3.21240551166667,3.23500033333333,3.05409192533333,2.585000261,2.53457793233333,2.587349456
"FAM178B",3.520773821,2.946779387,3.216815874,2.702950246,2.267750731,2.73949566
"FAM181B",3.03338619633333,3.25570051066667,3.07193728933333,2.806801972,3.099213929,2.62404532333333
"FAM184A",4.01588557,3.859973946,3.654712637,3.401642046,3.3803476395,3.3809513325
"FAM186B",3.022888747,3.023747257,2.991862605,2.418609116,2.639014174,2.816697048
"FAM187B",3.126412063,2.710866216,3.076119046,3.006273145,3.897212864,2.839031529
"FAM20A",3.04645445,3.030203307,2.771736012,2.3057014405,2.30995226575,2.59006652275
"FAM20B",6.479037566,7.0284702855,6.752125985,5.6410613875,5.3496351615,5.230606833
"FAM20C",4.0800901265,3.71864128075,3.58835980525,3.3032987225,3.20538391225,3.316284482
"FAM24A",3.133420204,3.445679468,3.32590622,2.982394288,2.340037954,2.5049372
"FAM32A",9.039758211,8.886783281,8.672992964,7.834260874,8.244490406,8.068829973
"FAM3A",5.038700587,4.8075347045,4.7040866855,4.7555752835,4.877077855,4.9907451935
"FAM3B",3.545276797,3.073877468,3.110003091,2.532742789,3.158635468,2.228055572
"FAM3D",3.433947116,3.527614813,3.244347289,3.26044459,2.573742976,2.663823302
"FAM43A",4.5599931135,4.603865765,4.3897348125,4.4541728955,4.0818192495,3.444972266
"FAM43B",3.289052514,3.32761644,3.2335886,2.871346058,3.217316913,3.028627524
"FAM47A",3.036696685,2.946816151,2.973361303,2.300111291,2.904065613,2.482779569
"FAM47B",2.684386804,2.781422399,2.624514606,2.335781145,2.203613912,2.470583798
"FAM47C",2.901913488,2.926222484,2.661174898,2.029848854,2.812321054,2.615085752
